,display_name,purchase_end,distance,items_available,category,description,badges,rating,addres_line,pickup_interval.start,pickup_interval.end
14,Eva's Original Chimneys - Bloor West (Small Bag),,11.362506355023624,0,OTHER,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 91, 'user_count': 11, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 100, 'user_count': 11, 'month_count': 4}]",4.2727272727272725,"454 Bloor St W, Toronto, ON M5S 1X8, Canada",NaT,NaT
17,Pizza Pizza - 1937 Weston Rd (Prepared meals),2023-02-26T20:00:00Z,11.366113852876236,0,MEAL,"Your bag may contain approximately 3-4 pizza slices, salad, wings or french fries the store has left at the end of the day! The Surprise Bag value is irrespective of any in-store deals or promotions.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 79, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 79, 'month_count': 6}]",4.36,"1937 Weston Rd, York, ON M9N 1W7, Canada",0-02-26 14:00:00,0-02-26 15:00:00
18,Yi Fang Taiwan Fruit Tea - Yonge,,11.382368874466643,0,OTHER,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 72, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 72, 'month_count': 6}]",4.484375,"672 Yonge St, Toronto, ON M4Y 2A6, Canada",NaT,NaT
19,Nadege Patisserie - Bloor-Annex (Surprise bag - Large),2023-02-26T21:00:00Z,11.3843626464768,0,BAKED_GOODS,"Please bring your own container to pack your assorted baked goods! If not, there will be a charge in store for a container.

Save a surprise bag filled with baked goods.Your surprise bag may contain baked goods like pastries or bread that the store has left at the end of their day. Some items may be close to or past 'best before' date however still good to enjoy! ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 86, 'user_count': 360, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 360, 'month_count': 6}]",4.430303030303031,"494 Bloor St W, Toronto, ON M5S 1X8, Canada",0-02-26 15:00:00,0-02-26 16:00:00
20,Nadege Patisserie - Bloor-Annex (Surprise bag - Cake),,11.3843626464768,0,BAKED_GOODS,"Please bring your own container to pack your cake! If not, there will be a charge in store for a container.

Save a surprise bag filled with a delicious cake which may have slight flaws such as breaks or cracks, however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 86, 'user_count': 96, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 96, 'month_count': 6}]",4.472527472527473,"494 Bloor St W, Toronto, ON M5S 1X8, Canada",NaT,NaT
21,The Annex Hotel - Boutique Hotel,2023-02-26T22:00:00Z,11.401008702836538,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 296, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 296, 'month_count': 6}]",4.276978417266187,"296 Brunswick Ave, Toronto, ON M5S 1X9, Canada",0-02-26 15:00:00,0-02-26 17:00:00
23,7-Eleven - Unit 7 - 1033 Bay Street (Baked goods),,11.465581841609577,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods, which may include donuts, cookies, and/or pastries! Items will be on or past the best before date, however everything will be good to consume!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 30, 'month_count': 0}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 30, 'month_count': 0}]",4.333333333333333,"1033 Bay St. unit 7, Toronto, ON M5S 3A5, Canada",NaT,NaT
24,Bake Code Croissanterie (Yonge St.) - Toronto,2023-02-26T18:00:00Z,11.504144550036532,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 96, 'user_count': 340, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 340, 'month_count': 6}]",4.789297658862877,"626 Yonge St, Toronto, ON M4Y 1Z8, Canada",0-02-26 11:30:00,0-02-26 13:00:00
25,Patisserie Fleur (Surprise Bag Small),2023-02-27T00:00:00Z,11.516684578164176,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 247, 'month_count': 5}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 247, 'month_count': 5}]",4.2631578947368425,"180 Enterprise Blvd, Markham, ON L6G 1B3, Canada",0-02-26 17:00:00,0-02-26 19:00:00
26,Mayon Fine Foods (The Taro Chip),,11.519526208972874,0,OTHER,"Your Surprise Bag will contain 4  bags of Taro bits, garlic or spicy! The Mayon Fine Foods front door is located at the back of 271 Jevlan Drive, Unit 17 next to Rainbow Childcare Services.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 87, 'user_count': 30, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 87, 'user_count': 30, 'month_count': 6}]",4.041666666666667,"271 Jevlan Dr, Vaughan, ON L4L 8A4, Canada",NaT,NaT
28,Sun Tea - St. Joseph,2023-02-27T04:00:00Z,11.537883928032459,0,OTHER,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 91, 'user_count': 74, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 74, 'month_count': 6}]",4.6231884057971016,"29c St Joseph St, Toronto, ON M4Y 1J8, Canada",0-02-26 22:30:00,0-02-26 23:00:00
31,Gulbay Turkish Bakery (Winges Rd.),,11.578227791961462,0,BAKED_GOODS,"Rescue a surprise bag filled with delicious baked goods. These items may be those that the has left at the end of their day, or are close to their best before date, however still good to enjoy! ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 98, 'user_count': 55, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 55, 'month_count': 6}]",4.384615384615385,"90 Winges Rd, Vaughan, ON J4Y 0K7, Canada",NaT,NaT
32,Torch Pressed Sushi - Downtown,2023-02-27T01:56:00Z,11.589558399841264,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 90, 'user_count': 165, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 87, 'user_count': 165, 'month_count': 6}]",4.151898734177215,"507 Church St, Toronto, ON M4Y 2C9, Canada",0-02-26 21:00:00,0-02-26 21:25:00
33,Tim Hortons - 726 Bloor St. W (Baked Goods),2023-02-27T04:00:00Z,11.592641558638913,3,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 107, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 107, 'month_count': 4}]",4.401869158878505,"726 Bloor St W, Toronto, ON M6G 1L4, Canada",0-02-26 21:00:00,0-02-26 23:00:00
34,Red Rocket Coffee - Danforth (Baked Goods),2023-02-26T22:00:00Z,11.596806134059735,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 160, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 160, 'month_count': 6}]",4.651006711409396,"1364 Danforth Ave, Toronto, ON M4J 1M9, Canada",0-02-26 13:00:00,0-02-26 17:00:00
35,Crisper Kits,,11.597315998155919,0,GROCERIES,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 173, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 173, 'month_count': 6}]",4.811320754716981,"130 Cawthra Ave, Unit #106, Toronto, ON M6N 3C2, Canada",NaT,NaT
36,Pizza Pizza - 297 Wellesley St E (Prepared meals),,11.603031309283294,0,MEAL,"Your bag may contain approximately 3-4 pizza slices, salad, wings or french fries the store has left at the end of the day! The Surprise Bag value is irrespective of any in-store deals or promotions.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 86, 'user_count': 64, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 64, 'month_count': 6}]",4.271186440677966,"297 Wellesley St E, Toronto, ON M4X 1G9, Canada",NaT,NaT
37,Red Rocket Coffee - Wellesley  (Baked Goods),,11.612047453536716,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 149, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 96, 'user_count': 149, 'month_count': 6}]",4.559440559440559,"154 Wellesley St E, Toronto, ON M4Y 2G8, Canada",NaT,NaT
38,Kung Fu Tea - Downtown - Wellesley on Yonge,2023-02-26T04:59:00Z,11.615075185333133,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 121, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 121, 'month_count': 6}]",4.574257425742574,"584 Yonge St, Toronto, ON M4Y 1Z3, Canada",0-02-25 23:30:00,0-02-25 23:59:00
41,Papa CEO King Slice,,11.664371420934314,0,MEAL,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 24, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 24, 'month_count': 6}]",4.454545454545454,"654 Spadina Ave., Toronto, ON M5S 2H7, Canada",NaT,NaT
43,Sweet Addictions (Large Surprise Bag),2023-02-27T00:30:00Z,11.66509440582887,9,BAKED_GOODS,Save a surprise bag and you can enjoy delicious baked goods and treats leftover however still great to enjoy! ,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 83, 'user_count': 70, 'month_count': 0}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 89, 'user_count': 70, 'month_count': 0}]",3.742857142857143,"462 Sherbourne St, Toronto, ON M4X 1K5, Canada",0-02-26 17:30:00,0-02-26 19:30:00
44,bare market (Assorted Goods),,11.665741838763877,0,GROCERIES,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 131, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 85, 'user_count': 131, 'month_count': 6}]",4.069565217391304,"1480 Danforth Ave, Toronto, ON M4J 1N4, Canada",NaT,NaT
46,Shalom Ethiopian & Eritrean Restaurant (Prepared Meal ),2023-02-27T02:30:00Z,11.672144489978932,0,MEAL,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 43, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 43, 'month_count': 6}]",4.439024390243903,"587 Parliament St, Toronto, ON M4X 1P9, Canada",0-02-26 20:30:00,0-02-26 21:30:00
47,Tim Hortons - 590 Keele St (Baked Goods),,11.710873387308238,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 82, 'user_count': 44, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 75, 'user_count': 44, 'month_count': 4}]",3.7045454545454546,"590 Keele St, Toronto, ON M6N 3E4, Canada",NaT,NaT
48,Ba Noi (Baked Goods),,11.735656906668817,0,BAKED_GOODS,"Save a surprise bag filled with baked goods. Your surprise bag may contain baked goods like pastries or bread that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 100, 'user_count': 26, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 100, 'user_count': 26, 'month_count': 4}]",4.961538461538462,"806 Bloor St W, Toronto, ON M6G 1L9, Canada",NaT,NaT
49,The Big Cannoli - Roytec (Baked Goods),,11.77683292228315,0,BAKED_GOODS,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 95, 'user_count': 58, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 58, 'month_count': 6}]",4.464285714285714,"28 Roytec Rd, Woodbridge, ON L4L 8E3, Canada",NaT,NaT
50,Tim Hortons - 874 Bloor St. W (Baked Goods),2023-02-27T04:00:00Z,11.795522047339123,3,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 92, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 92, 'month_count': 4}]",4.358695652173913,"874 Bloor St W, Toronto, ON M6G 1M5, Canada",0-02-26 21:00:00,0-02-26 23:00:00
51,Hale Coffee Company- Junction,,11.801175532073659,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 112, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 95, 'user_count': 112, 'month_count': 6}]",4.553398058252427,"300 Campbell Ave, Toronto, ON M6P 3V6, Canada",NaT,NaT
53,Félix & Norton Cookies - Markham (Cookies),,11.811066036559573,0,BAKED_GOODS,"Save a surprise bag filled with Cookies. Your surprise bag may contain baked goods that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 99, 'user_count': 225, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 225, 'month_count': 6}]",4.870967741935484,"8601 Warden Ave., Markham, ON L3R 0B5, Canada",NaT,NaT
55,Cosenza Bakery (Italian Baked Goods),2023-02-26T21:00:00Z,11.822320918118487,0,BAKED_GOODS,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 332, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 332, 'month_count': 6}]",4.88599348534202,"471 Jevlan Dr, Woodbridge, ON L4L 8A1, Canada",0-02-26 15:30:00,0-02-26 16:30:00
56,Saving Gigi,2023-02-26T21:00:00Z,11.827004050081536,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 122, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 98, 'user_count': 122, 'month_count': 6}]",4.626168224299065,"859 Bloor St W, Toronto, ON M6G 3R4, Canada",0-02-26 15:00:00,0-02-26 16:00:00
59,Kingyo Fisherman's Market (Surprise Bag),,11.871741519842441,0,MEAL,"Packaged Sushi, Sushi Rolls, Japanese Appetizers, Retail Goods etc","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 86, 'user_count': 493, 'month_count': 5}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 493, 'month_count': 5}]",3.849898580121704,"51b Winchester St, Toronto, ON M4X 1A8, Canada",NaT,NaT
60,Pizza Pizza - 10077 Yonge Street (Evening Prepared meals),2023-02-27T03:00:00Z,11.881468049705926,1,MEAL,"Your bag may contain approximately 3-4 pizza slices, salad, wings or french fries the store has left at the end of the day! The Surprise Bag value is irrespective of any in-store deals or promotions.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 148, 'month_count': 5}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 148, 'month_count': 5}]",4.168918918918919,"10077 Yonge St, Richmond Hill, ON L4C 1T7, Canada",0-02-26 21:00:00,0-02-26 22:00:00
61,Levant Pizza (Small Surprise Bag),,11.884401963197973,0,MEAL,"It's a surprise! When you buy a Surprise Bag, it will be filled with the delicious food that the store has left over at the end of the day. Some items may be left over from the day, however still great to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 370, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 370, 'month_count': 6}]",4.259036144578313,"899 Bloor St W, Toronto, ON M6H 1L2, Canada",NaT,NaT
62,Bake Code (Woodbine Ave.) - Woodbine,2023-02-26T18:00:00Z,11.887552301391164,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 485, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 97, 'user_count': 485, 'month_count': 6}]",4.565789473684211,"9255 Woodbine Ave, Markham, ON L6C, Canada",0-02-26 11:00:00,0-02-26 13:00:00
66,OMG Cafe & Tapas (Surprise Bag),2023-02-26T22:00:00Z,11.92993173398371,0,BAKED_GOODS," Your surprise bag may contain baked goods or other food that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 87, 'user_count': 31, 'month_count': 3}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 31, 'month_count': 3}]",4.032258064516129,"755 Dovercourt Rd, Toronto, ON M6H 2X1, Canada",0-02-26 16:00:00,0-02-26 17:00:00
70,The Great Mallard,,11.975048434783401,0,GROCERIES,"Your surprise bag may contain a mix of cookies, cakes or other goods that may be past their best before date but still good to enjoy!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 88, 'user_count': 50, 'month_count': 5}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 84, 'user_count': 50, 'month_count': 5}]",4.08,"503 Parliament St, Toronto, ON M4X 1P3, Canada",NaT,NaT
71,Cafe Paradise (Surprise Bag),,11.98676809835758,0,MEAL,"Your Surprise Bag will be filled with the delicious food that the store has left over at the end of the day, however still great to enjoy!  Your surprise bag could contain pastries, lasagnas, sandwiches, meat or juice!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 95, 'user_count': 201, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 201, 'month_count': 4}]",4.567164179104478,"1014 Bloor St W, Toronto, ON M6H 1M2, Canada",NaT,NaT
72,The Gold City Fruit Market,2023-02-27T01:30:00Z,12.013682354198886,3,GROCERIES,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 90, 'user_count': 290, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 290, 'month_count': 6}]",4.22140221402214,"1001 Bloor St W, Toronto, ON M6H 1M1, Canada",0-02-26 15:00:00,0-02-26 20:30:00
73,Metro - 2155 St. Clair W (Cake Bag),,12.019395771592798,0,BAKED_GOODS,"Your Surprise Bag will contain either one large surplus cake, or an assortment of smaller cakes, and/or dessert items. Items may be close to or on the best before date, however everything will be good to eat! Items will need refrigeration.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 91, 'user_count': 33, 'month_count': 2}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 33, 'month_count': 2}]",4.636363636363637,"2155 St Clair Ave W, Toronto, ON M6N 1K5, Canada",NaT,NaT
