,display_name,purchase_end,distance,items_available,category,description,badges,rating,addres_line,pickup_interval.start,pickup_interval.end,id
18,Pusateri's - Bayview (Prepared Foods),2023-02-26T23:00:00Z,2.146102805326034,0,MEAL,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 508, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 508, 'month_count': 6}]",4.146186440677966,"2901 Bayview Ave, North York, ON M2N 5Z7, Canada",0-02-26 16:00:00,0-02-26 18:00:00,373622
19,Pusateri's - Bayview (Assorted Produce),2023-02-26T23:00:00Z,2.146102805326034,0,GROCERIES,Your surprise bag will contain delicious fruit and vegetables. Some items may be slightly bruised or maybe close to or past 'best before' date however still good to enjoy!  ,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 90, 'user_count': 330, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 330, 'month_count': 6}]",4.112211221122112,"2901 Bayview Ave, North York, ON M2N 5Z7, Canada",0-02-26 16:00:00,0-02-26 18:00:00,373624
20,Pusateri's - Bayview (Baked Goods),2023-02-26T23:00:00Z,2.146102805326034,0,OTHER,"Your Surprise Bag may contain an assortment of surplus breads, pastries and/or other sweets! Your Surprise Bag may contain some items close to or past 'best before' date however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 427, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 427, 'month_count': 6}]",4.488549618320611,"2901 Bayview Ave, North York, ON M2N 5Z7, Canada",0-02-26 16:00:00,0-02-26 18:00:00,378935
21,Tim Hortons - 4110 Yonge St (Baked Goods),,2.4200854604153355,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 96, 'user_count': 23, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 87, 'user_count': 23, 'month_count': 4}]",4.478260869565218,"4110 Yonge St, North York, ON M2P 2H3, Canada",NaT,NaT,790952
23,Tim Hortons - 4025 Yonge St (Baked Goods),,2.588097231264885,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 25, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 84, 'user_count': 25, 'month_count': 4}]",4.16,"4025 Yonge St, North York, ON M2P 2E3, Canada",NaT,NaT,790953
24,Metro - 600 Sheppard Ave (Baked Goods),2023-02-26T23:00:00Z,2.6816646036832448,5,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, on, or just past the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 90, 'user_count': 92, 'month_count': 3}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 96, 'user_count': 92, 'month_count': 3}]",4.1521739130434785,"600 Sheppard Ave W, North York, ON M3H 2S1, Canada",0-02-26 16:00:00,0-02-26 18:00:00,790548
25,Metro - 600 Sheppard Ave (Cake Bag),,2.6816646036832448,0,BAKED_GOODS,"Your Surprise Bag will contain either one large surplus cake, or an assortment of smaller cakes, and/or dessert items. Items may be close to or on the best before date, however everything will be good to eat! Items will need refrigeration.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 88, 'user_count': 83, 'month_count': 3}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 88, 'user_count': 83, 'month_count': 3}]",4.072289156626506,"600 Sheppard Ave W, North York, ON M3H 2S1, Canada",NaT,NaT,792575
26,Ana's Sweet Creations,2023-02-26T22:30:00Z,2.8947088603125364,0,BAKED_GOODS,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 97, 'user_count': 59, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 59, 'month_count': 6}]",4.2407407407407405,"664 Sheppard Ave W, North York, ON M3H 2S5, Canada",0-02-26 17:00:00,0-02-26 17:30:00,515779
28,Metro - 291 York Mills Rd (Baked Goods),2023-02-26T23:00:00Z,3.1211642061029807,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, on, or just past the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 127, 'month_count': 3}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 127, 'month_count': 3}]",4.267716535433071,"291 York Mills Rd, North York, ON M2L 1L3, Canada",0-02-26 10:00:00,0-02-26 18:00:00,766180
29,Patisserie Gateau - Centrepoint (Baked Goods),2023-02-26T16:00:00Z,3.2142542397804776,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 322, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 95, 'user_count': 322, 'month_count': 6}]",4.5423728813559325,"6464 Yonge St, North York, ON M2M 3X4, Canada",0-02-26 10:00:00,0-02-26 11:00:00,374091
30,Peacher Peacher - North York,,3.214509738094062,0,OTHER,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 83, 'user_count': 48, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 79, 'user_count': 48, 'month_count': 6}]",3.744186046511628,"95 Esther Shiner Blvd, North York, ON M2K 1C2, Canada",NaT,NaT,374243
31,TEA SHOP 168 (Bubble Tea),2023-02-26T23:00:00Z,3.4598548648077423,8,OTHER,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 87, 'user_count': 68, 'month_count': 0}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 84, 'user_count': 68, 'month_count': 0}]",3.8970588235294117,"180 Steeles Ave W unit 25, Thornhill, ON L4J 2L1, Canada",0-02-26 16:00:00,0-02-26 18:00:00,906503
33,Tim Hortons - 2005 Avenue Rd. (Baked Goods),2023-02-27T00:30:00Z,3.697034667132357,3,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 90, 'user_count': 153, 'month_count': 4}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 153, 'month_count': 4}]",4.509803921568627,"2005 Avenue Rd, North York, ON M5M 4A5, Canada",0-02-26 18:00:00,0-02-26 19:30:00,790961
35,Metro - 6201 Bathurst St (Baked Goods),2023-02-27T00:00:00Z,3.7463211236987974,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, on, or just past the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 96, 'user_count': 222, 'month_count': 3}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 222, 'month_count': 3}]",4.563063063063063,"6201 Bathurst St, North York, ON M2R 2A5, Canada",0-02-26 15:00:00,0-02-26 19:00:00,790553
36,grounded. Coffeebar (Assorted Cafe Goods),2023-02-26T20:00:00Z,3.7552823720604223,0,OTHER,"Your surprise bag may contain baked goods, breads, sandwiches, beverages, or other items that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 85, 'user_count': 88, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 88, 'user_count': 88, 'month_count': 6}]",4.129411764705883,"3454 Yonge St, Toronto, ON M4N 2N4, Canada",0-02-26 14:30:00,0-02-26 15:00:00,509448
37,Pizza Cafe,,3.8446651368822145,0,MEAL,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 89, 'user_count': 73, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 86, 'user_count': 73, 'month_count': 6}]",3.925373134328358,"3774 Bathurst St, North York, ON M3H 3M6, Canada",NaT,NaT,507838
38,Atin Ito Restaurant,2023-02-27T00:00:00Z,3.8527144880204194,0,OTHER,,"[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 80, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 80, 'month_count': 6}]",4.418918918918919,"3770 Bathurst St, North York, ON M3H 3M5, Canada",0-02-26 18:30:00,0-02-26 19:00:00,506930
43,Mommie Raquel Gourmet House,2023-02-27T00:00:00Z,4.09412518899178,3,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 77, 'user_count': 62, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 84, 'user_count': 62, 'month_count': 6}]",3.736842105263158,"371 Wilson Ave, North York, ON M3H 1T3, Canada",0-02-26 18:30:00,0-02-26 19:00:00,517010
44,Ba-Li Laffa,2023-02-27T02:30:00Z,4.0958028439579826,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 83, 'user_count': 46, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 80, 'user_count': 46, 'month_count': 6}]",3.7954545454545454,"7117 Bathurst St, Thornhill, ON L4J 2J6, Canada",0-02-26 21:00:00,0-02-26 21:30:00,516482
45,Tim Hortons - 901 Sheppard Ave W (Baked Goods),2023-02-27T03:00:00Z,4.143993520046975,2,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods such as Donuts, Timbits, Cookies, Muffins, Bagels, and/or other baked goods.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 69, 'month_count': 4}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 93, 'user_count': 69, 'month_count': 4}]",4.188405797101449,"901 Sheppard Ave W, North York, ON M3H 2T7, Canada",0-02-26 20:00:00,0-02-26 22:00:00,790936
51,Bubble Tea & Me (Bubble Tea and/or Food),2023-02-27T03:20:00Z,4.374936094777742,0,MEAL,"Save a surprise bag filled with various bubble tea staples! This may include from fresh brewed tea, signature drinks, Food like desserts and meals or non-menu items that the store has left over that day, all great to enjoy.","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 97, 'user_count': 33, 'month_count': 1}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 33, 'month_count': 1}]",4.545454545454546,"7330 Yonge St, Thornhill, ON L4J 7Y7, Canada",0-02-26 22:00:00,0-02-26 22:20:00,940094
53,Yang's Fruit Market,,4.444967423960365,0,GROCERIES,"From pantry staples to fresh produce, your surprise bag may contain some items close to or past 'best before' date however still good to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 87, 'user_count': 45, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 84, 'user_count': 45, 'month_count': 6}]",3.761904761904762,"3229 Yonge St, Toronto, ON M4N 2L3, Canada",NaT,NaT,516640
54,Tutto Pronto - Avenue Road,2023-02-26T21:30:00Z,4.455493539900476,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 277, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 277, 'month_count': 6}]",4.407843137254902,"1718 Avenue Rd, North York, ON M5M 3Y6, Canada",0-02-26 16:00:00,0-02-26 17:00:00,373775
55,Thornhill Kosher pizza ,,4.456008547694144,0,OTHER,"Your surprise bag will contain a delicious meal but may need a bit of transformation such as heating to your taste. Some items may be leftover from the day, however still great to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 113, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 96, 'user_count': 113, 'month_count': 6}]",4.415094339622642,"7241 Bathurst St, Thornhill, ON L4J 3W1, Canada",NaT,NaT,516246
56,La Bamboche Patisserie,2023-02-26T21:00:00Z,4.47179071549087,0,BAKED_GOODS,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 157, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 157, 'month_count': 6}]",4.66,"1712 Avenue Rd, North York, ON M5M 3Y6, Canada",0-02-26 15:45:00,0-02-26 16:00:00,373184
57,Goldie's - An Eisenbergs Company (Baked Goods & Assorted Juices),2023-02-26T21:00:00Z,4.5520869728698585,0,MEAL,,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 92, 'user_count': 170, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 170, 'month_count': 6}]",4.506578947368421,"4580 Dufferin St, North York, ON M3H 5Y2, Canada",0-02-26 14:00:00,0-02-26 16:00:00,374288
58,Longo's - York Mills (Baked Goods),2023-02-27T00:00:00Z,4.58661911998053,0,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, or on the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 224, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 91, 'user_count': 224, 'month_count': 6}]",4.120772946859903,"808 York Mills Rd, North York, ON M3B 1X8, Canada",0-02-26 17:00:00,0-02-26 19:00:00,647393
60,Longo's - York Mills (Prepared Foods),2023-02-27T00:00:00Z,4.58661911998053,0,MEAL,"Your Surprise Bag will contain an assortment of surplus prepared foods. You may receive surplus salads, sides, pasta, and/or prepared meats.  Items may be close to, or on the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 94, 'user_count': 404, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 404, 'month_count': 6}]",4.184782608695652,"808 York Mills Rd, North York, ON M3B 1X8, Canada",0-02-26 17:00:00,0-02-26 19:00:00,647420
61,Metro - 3142 Yonge St (Baked Goods),2023-02-26T23:00:00Z,4.624816107653303,3,BAKED_GOODS,"Your Surprise Bag will contain an assortment of surplus baked goods. You may receive surplus bread, pastries, muffins, cookies and other items from the bakery! Items may be close to, on, or just past the ""best before"" date, however everything will still be good to eat!","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 93, 'user_count': 147, 'month_count': 3}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 88, 'user_count': 147, 'month_count': 3}]",4.489795918367347,"3142 Yonge St, Toronto, ON M4N 2K6, Canada",0-02-26 11:00:00,0-02-26 18:00:00,790556
65,Brewing Brokers (Baked Goods ),,4.631988404626398,0,BAKED_GOODS,"Save a surprise bag filled with baked goods. Your surprise bag may contain baked goods like pastries or bread that the store has left at the end of their day, however still good to enjoy! ","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LIKED', 'percentage': 92, 'user_count': 120, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 89, 'user_count': 120, 'month_count': 6}]",4.222222222222222,"3153 Yonge St, Toronto, ON M4N 2K9, Canada",NaT,NaT,649810
67,   Goûter (Bathurst),2023-02-26T18:10:00Z,4.657062912838445,0,BAKED_GOODS,"Save a surprise Bag that could contain an assortment of delicious bakery goods such as croissants that are left over from the day, however still great to enjoy! ","[{'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 96, 'user_count': 134, 'month_count': 6}, {'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 94, 'user_count': 134, 'month_count': 6}]",4.699186991869919,"3507 Bathurst St, North York, ON M6A 2C5, Canada",0-02-26 12:40:00,0-02-26 13:10:00,647660
72,Burukudu Coffee (Assorted Coffee Beans Large),2023-02-26T20:45:00Z,4.842495609294659,0,MEAL,"This is a surprise you want to get your hands on! When you buy a Surprise Bag, it will be filled with a delicious assortment of coffee beans and a an awesome Burukudu gift!","[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 100, 'user_count': 22, 'month_count': 0}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 100, 'user_count': 22, 'month_count': 0}]",4.909090909090909,"7509 Yonge St, Markham, ON L3T 2B9, Canada",0-02-26 11:00:00,0-02-26 15:45:00,941219
74,FK Dulce Bakery / Tropa Filipino Variety  (FK Dulce Bakery / Tropa Filipino Variety ),2023-02-27T00:45:00Z,4.844596079911297,0,BAKED_GOODS,Save a surprise bag filled with baked goods.Your surprise bag may contain baked goods like pastries or bread that the store has left at the end of their day. Some items may be close to or past 'best before' date however still good to enjoy! ,"[{'badge_type': 'OVERALL_RATING_TRUST_SCORE', 'rating_group': 'LOVED', 'percentage': 91, 'user_count': 34, 'month_count': 6}, {'badge_type': 'SERVICE_RATING_SCORE', 'rating_group': 'LOVED', 'percentage': 97, 'user_count': 34, 'month_count': 6}]",4.612903225806452,"3418 Bathurst St, North York, ON M6A 2C2, Canada",0-02-26 19:15:00,0-02-26 19:45:00,507501
